intertidal_sitename,filename_prefix,intertidal_sort_order,latitude,longitude,biodiversity_site_code,GroupCode,MARINe_site_code,intertidal_geographic_region,intertidal_bioregion,SampleSeason,SamplingSeasonCode,TargetSpecies,graph_classification,quad_category,graph_sort,Sum(count),number_of_plots,mean_number_per_plot
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Fissurella volcano,limpets,5,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Hemigrapsus nudus,crustaceans,1,1,5,0.2
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Limpet,limpets,5,458.25,5,91.65
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Littorina spp,snails,3,3434.375,5,686.875
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Mopalia spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Nucella lamellosa,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Nucella spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Nuttallina spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Ocenebra circumtexta,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Ocenebra spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Pachygrapsus crassipes,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Pagurus spp,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Tegula funebralis,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,chthamalus/balanus,Tonicella lineata/lokii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Cyanoplax hartwegii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Cyanoplax spp,chitons,2,2,5,0.4
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Fissurella volcano,limpets,5,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Hemigrapsus nudus,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Limpet,limpets,5,1012.5,5,202.5
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Littorina spp,snails,3,9.375,5,1.875
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Mopalia spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Nucella lamellosa,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Nucella spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Nuttallina spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Ocenebra circumtexta,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Ocenebra spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Pachygrapsus crassipes,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Pagurus spp,crustaceans,1,14,5,2.8
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Tegula funebralis,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,122,SU11,fucus,Tonicella lineata/lokii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Cyanoplax hartwegii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Cyanoplax spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Fissurella volcano,limpets,5,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Hemigrapsus nudus,crustaceans,1,2,5,0.4
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Limpet,limpets,5,204.875,5,40.975
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Littorina spp,snails,3,7025,5,1405
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Mopalia spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Nucella lamellosa,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Nucella spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Nuttallina spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Ocenebra circumtexta,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Ocenebra spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Pachygrapsus crassipes,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Pagurus spp,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Tegula funebralis,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,chthamalus/balanus,Tonicella lineata/lokii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Cyanoplax hartwegii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Cyanoplax spp,chitons,2,2,5,0.4
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Fissurella volcano,limpets,5,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Hemigrapsus nudus,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Limpet,limpets,5,3225,5,645
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Littorina spp,snails,3,37.5,5,7.5
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Mopalia spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Nucella lamellosa,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Nucella spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Nuttallina spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Ocenebra circumtexta,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Ocenebra spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Pachygrapsus crassipes,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Pagurus spp,crustaceans,1,11,5,2.2
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Tegula funebralis,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,126,SU12,fucus,Tonicella lineata/lokii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Cyanoplax hartwegii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Cyanoplax spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Fissurella volcano,limpets,5,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Hemigrapsus nudus,crustaceans,1,1,5,0.2
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Limpet,limpets,5,154.125,5,30.825
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Littorina spp,snails,3,4250,5,850
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Mopalia spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Nucella lamellosa,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Nucella spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Nuttallina spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Ocenebra circumtexta,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Ocenebra spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Pachygrapsus crassipes,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Pagurus spp,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Tegula funebralis,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,chthamalus/balanus,Tonicella lineata/lokii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Cyanoplax hartwegii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Cyanoplax spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Fissurella volcano,limpets,5,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Hemigrapsus nudus,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Limpet,limpets,5,846.875,5,169.375
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Littorina spp,snails,3,37.5,5,7.5
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Mopalia spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Nucella lamellosa,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Nucella spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Nuttallina spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Ocenebra circumtexta,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Ocenebra spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Pachygrapsus crassipes,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Pagurus spp,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Tegula funebralis,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,130,SU13,fucus,Tonicella lineata/lokii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Cyanoplax hartwegii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Cyanoplax spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Fissurella volcano,limpets,5,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Hemigrapsus nudus,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Limpet,limpets,5,260,5,52
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Littorina spp,snails,3,5143.75,5,1028.75
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Mopalia spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Nucella lamellosa,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Nucella spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Nuttallina spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Ocenebra circumtexta,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Ocenebra spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Pachygrapsus crassipes,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Pagurus spp,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Tegula funebralis,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,chthamalus/balanus,Tonicella lineata/lokii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Cyanoplax hartwegii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Cyanoplax spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Fissurella volcano,limpets,5,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Hemigrapsus nudus,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Limpet,limpets,5,784.375,5,156.875
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Littorina spp,snails,3,100,5,20
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Mopalia spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Nucella lamellosa,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Nucella spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Nuttallina spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Ocenebra circumtexta,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Ocenebra spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Pachygrapsus crassipes,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Pagurus spp,crustaceans,1,9,5,1.8
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Tegula funebralis,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,134,SU14,fucus,Tonicella lineata/lokii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Cyanoplax hartwegii,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Cyanoplax spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Fissurella volcano,limpets,5,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Hemigrapsus nudus,crustaceans,1,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Limpet,limpets,5,476.375,5,95.275
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Littorina spp,snails,3,8325,5,1665
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Mopalia spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Nucella lamellosa,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Nucella spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Nuttallina spp,chitons,2,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Ocenebra circumtexta,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Ocenebra spp,snails,3,0,5,0
Post Point,postpoint,3500,48.7120018,-122.51913,,UCSC,POP,WA Salish Sea,WA Salish Sea,138,SU15,chthamalus/balanus,Pachygrapsus crassipes,crustaceans,1,0,5,0
